File_accession	File_format	File_type	File_format_type	Output_type	File_assembly	Experiment_accession	Assay	Donor(s)	Biosample_term_id	Biosample_term_name	Biosample_type	Biosample_organism	Biosample_treatments	Biosample_treatments_amount	Biosample_treatments_duration	Biosample_genetic_modifications_methods	Biosample_genetic_modifications_categories	Biosample_genetic_modifications_targets	Biosample_genetic_modifications_gene_targets	Biosample_genetic_modifications_site_coordinates	Biosample_genetic_modifications_zygosity	Experiment_target	Library_made_from	Library_depleted_in	Library_extraction_method	Library_lysis_method	Library_crosslinking_method	Library_strand_specific	Experiment_date_released	Project	RBNS_protein_concentration	Library_fragmentation_method	Library_size_range	Biological_replicate(s)	Technical_replicate(s)	Read_length	Mapped_read_length	Run_type	Paired_end	Paired_with	Index_of	Derived_from	Size	Lab	md5sum	dbxrefs	File_download_URL	Genome_annotation	Platform	Controlled_by	File_Status	s3_uri	Azure_URL	File_analysis_title	File_analysis_status	Audit_WARNING	Audit_NOT_COMPLIANT	Audit_ERROR
ENCFF521ITF	fastq	fastq		reads		ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1	100		paired-ended	1	/files/ENCFF346CDZ/			4500653597	Michael_Snyder,_Stanford	64a38bff415be87efc61d2a63dacf8c4	SRA:SRR14305749	https://www.encodeproject.org/files/ENCFF521ITF/@@download/ENCFF521ITF.fastq.gz		Illumina_HiSeq_4000		released	s3://encode-public/2016/04/26/84d16288-9736-4af5-a298-3bdded655fa0/ENCFF521ITF.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2016/04/26/84d16288-9736-4af5-a298-3bdded655fa0/ENCFF521ITF.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF346CDZ	fastq	fastq		reads		ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1	100		paired-ended	2	/files/ENCFF521ITF/			4736024950	Michael_Snyder,_Stanford	9b138d252f4515d7c6c96034d435e850	SRA:SRR14305749	https://www.encodeproject.org/files/ENCFF346CDZ/@@download/ENCFF346CDZ.fastq.gz		Illumina_HiSeq_4000		released	s3://encode-public/2016/04/26/6574fe31-5766-40d6-94b0-16f9010884da/ENCFF346CDZ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2016/04/26/6574fe31-5766-40d6-94b0-16f9010884da/ENCFF346CDZ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF675QOY	bam	bam		alignments	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1		101					/files/ENCFF521ITF/,_/files/ENCFF346CDZ/	5930910427	Anshul_Kundaje,_Stanford	85e4ba19db10cfa0f75dfd66f5ef0c61		https://www.encodeproject.org/files/ENCFF675QOY/@@download/ENCFF675QOY.bam				released	s3://encode-public/2016/12/22/205e2227-e2f8-489f-8ee3-acb6a996f8b6/ENCFF675QOY.bam	https://datasetencode.blob.core.windows.net/dataset/2016/12/22/205e2227-e2f8-489f-8ee3-acb6a996f8b6/ENCFF675QOY.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab_custom_GRCh38	archived	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF368VLY	bigWig	bigWig		signal_p-value	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF675QOY/	1174000349	Anshul_Kundaje,_Stanford	ae7151d7a23e1dac715f1edc6ad738d0		https://www.encodeproject.org/files/ENCFF368VLY/@@download/ENCFF368VLY.bigWig				released	s3://encode-public/2016/12/22/a658590c-4964-4f9f-9c62-90d8a00fa6a2/ENCFF368VLY.bigWig	https://datasetencode.blob.core.windows.net/dataset/2016/12/22/a658590c-4964-4f9f-9c62-90d8a00fa6a2/ENCFF368VLY.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab_custom_GRCh38	archived	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF415RKU	bigWig	bigWig		fold_change_over_control	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF675QOY/	1385037599	Anshul_Kundaje,_Stanford	4248853c99a6b9e3b77159319300b7de		https://www.encodeproject.org/files/ENCFF415RKU/@@download/ENCFF415RKU.bigWig				released	s3://encode-public/2016/12/22/c7634c18-a080-4b59-911f-582cb74191a6/ENCFF415RKU.bigWig	https://datasetencode.blob.core.windows.net/dataset/2016/12/22/c7634c18-a080-4b59-911f-582cb74191a6/ENCFF415RKU.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab_custom_GRCh38	archived	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF281QKD	bam	bam		unfiltered_alignments	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1		101					/files/ENCFF346CDZ/,_/files/ENCFF110MCL/,_/files/ENCFF521ITF/	13538873235	ENCODE_Processing_Pipeline	8895c38189da3801582c2d83de6c4c0d		https://www.encodeproject.org/files/ENCFF281QKD/@@download/ENCFF281QKD.bam				released	s3://encode-public/2021/02/25/82a9663b-65e8-4c9c-b5db-352a83a31923/ENCFF281QKD.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/82a9663b-65e8-4c9c-b5db-352a83a31923/ENCFF281QKD.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.9.1_GRCh38	released	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF858TZP	bam	bam		alignments	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1		101					/files/ENCFF346CDZ/,_/files/ENCFF304XEX/,_/files/ENCFF521ITF/,_/files/ENCFF493CCB/,_/files/ENCFF140XLU/,_/files/ENCFF110MCL/,_/files/ENCFF212UAV/,_/files/ENCFF356LFX/	5993297882	ENCODE_Processing_Pipeline	a9aa1e42082d5d7f74fd99e66be88097		https://www.encodeproject.org/files/ENCFF858TZP/@@download/ENCFF858TZP.bam				released	s3://encode-public/2021/02/25/f656d0fd-8bf4-4730-8ae9-965f988e2414/ENCFF858TZP.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/f656d0fd-8bf4-4730-8ae9-965f988e2414/ENCFF858TZP.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.9.1_GRCh38	released	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF872BRQ	bigWig	bigWig		signal_p-value	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF858TZP/	1295276136	ENCODE_Processing_Pipeline	87003ce0162d7b99b76449f8847d601a		https://www.encodeproject.org/files/ENCFF872BRQ/@@download/ENCFF872BRQ.bigWig				released	s3://encode-public/2021/02/25/3ec8dda8-3910-46a0-a548-8f2d6cd36182/ENCFF872BRQ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/3ec8dda8-3910-46a0-a548-8f2d6cd36182/ENCFF872BRQ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.9.1_GRCh38	released	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF841ZHA	bigWig	bigWig		fold_change_over_control	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF858TZP/	1425410099	ENCODE_Processing_Pipeline	486b00b039875f77111f732b6a076554		https://www.encodeproject.org/files/ENCFF841ZHA/@@download/ENCFF841ZHA.bigWig				released	s3://encode-public/2021/02/25/24382bb9-d6ad-4677-a65a-4c816fa7f7bd/ENCFF841ZHA.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/24382bb9-d6ad-4677-a65a-4c816fa7f7bd/ENCFF841ZHA.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.9.1_GRCh38	released	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
ENCFF169UCZ	bed_idr_ranked_peak	bed	idr_ranked_peak	IDR_ranked_peaks	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF858TZP/	5370813	ENCODE_Processing_Pipeline	c16eda067b4881f4fb50bd45a0ddd5e5		https://www.encodeproject.org/files/ENCFF169UCZ/@@download/ENCFF169UCZ.bed.gz				released	s3://encode-public/2021/02/25/f6068eb7-6980-48be-aa15-e12567b96124/ENCFF169UCZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/f6068eb7-6980-48be-aa15-e12567b96124/ENCFF169UCZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.9.1_GRCh38	released	mild_to_moderate_bottlenecking,_moderate_number_of_reproducible_peaks,_moderate_library_complexity	low_FRiP_score	
