File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF406AIK	fastq	fastq		reads		ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_2	76		single-ended					763465474	Bradley Bernstein, Broad	90c115df83dec66ac6ac3a34122c316f	SRA:SRR10838534	https://www.encodeproject.org/files/ENCFF406AIK/@@download/ENCFF406AIK.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2019/04/27/5229394c-a691-40c2-9daf-754df15df2bb/ENCFF406AIK.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2019/04/27/5229394c-a691-40c2-9daf-754df15df2bb/ENCFF406AIK.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing controlled_by		
ENCFF538AQK	fastq	fastq		reads		ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_2	76		single-ended					771832762	Bradley Bernstein, Broad	4b9bbec22423b9e56af399dd9852e669	SRA:SRR10838535	https://www.encodeproject.org/files/ENCFF538AQK/@@download/ENCFF538AQK.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2019/04/27/7222cedd-5595-4838-b553-b2bceee2d6b9/ENCFF538AQK.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2019/04/27/7222cedd-5595-4838-b553-b2bceee2d6b9/ENCFF538AQK.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing controlled_by		
ENCFF437ETN	bam	bam		unfiltered alignments	hg19	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2		76					/files/ENCFF245BCA/, /files/ENCFF406AIK/, /files/ENCFF807MUK/, /files/ENCFF235TTD/, /files/ENCFF538AQK/	4199770350	ENCODE Processing Pipeline	1058059eb61464543f2f3b7b3a09eb30		https://www.encodeproject.org/files/ENCFF437ETN/@@download/ENCFF437ETN.bam				released	s3://encode-public/2019/07/17/3fe36451-8cbe-48df-be94-3e562223c81b/ENCFF437ETN.bam	https://datasetencode.blob.core.windows.net/dataset/2019/07/17/3fe36451-8cbe-48df-be94-3e562223c81b/ENCFF437ETN.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived			
ENCFF561YMC	bam	bam		unfiltered alignments	GRCh38	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2		76					/files/ENCFF245BCA/, /files/ENCFF406AIK/, /files/ENCFF643CGH/, /files/ENCFF235TTD/, /files/ENCFF538AQK/	4207655367	ENCODE Processing Pipeline	8ea1e5bb17d9b9afe28d3460265d1f57		https://www.encodeproject.org/files/ENCFF561YMC/@@download/ENCFF561YMC.bam				released	s3://encode-public/2019/07/17/df0fbf6e-9290-480b-9542-d1582c42f207/ENCFF561YMC.bam	https://datasetencode.blob.core.windows.net/dataset/2019/07/17/df0fbf6e-9290-480b-9542-d1582c42f207/ENCFF561YMC.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived			
ENCFF065MNN	bam	bam		alignments	GRCh38	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2		76					/files/ENCFF245BCA/, /files/ENCFF406AIK/, /files/ENCFF643CGH/, /files/ENCFF235TTD/, /files/ENCFF538AQK/	3464112745	ENCODE Processing Pipeline	36807e1bae04518053a7e03469fdc7e4		https://www.encodeproject.org/files/ENCFF065MNN/@@download/ENCFF065MNN.bam				released	s3://encode-public/2019/07/17/126acb51-6314-4ff3-9e64-0c5eb80ae569/ENCFF065MNN.bam	https://datasetencode.blob.core.windows.net/dataset/2019/07/17/126acb51-6314-4ff3-9e64-0c5eb80ae569/ENCFF065MNN.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived			
ENCFF730UVR	bam	bam		alignments	hg19	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2		76					/files/ENCFF245BCA/, /files/ENCFF406AIK/, /files/ENCFF807MUK/, /files/ENCFF235TTD/, /files/ENCFF538AQK/	3459424334	ENCODE Processing Pipeline	ec3cf9cb7969d45b4638a87a7e7f978b		https://www.encodeproject.org/files/ENCFF730UVR/@@download/ENCFF730UVR.bam				released	s3://encode-public/2019/07/17/dd084fb9-382a-4997-a9f4-16bcc248ee08/ENCFF730UVR.bam	https://datasetencode.blob.core.windows.net/dataset/2019/07/17/dd084fb9-382a-4997-a9f4-16bcc248ee08/ENCFF730UVR.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived			
ENCFF138GWZ	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF730UVR/, /files/ENCFF349BOR/	1010966	ENCODE Processing Pipeline	059d42e30bc3616b626b48cb963c3e0f		https://www.encodeproject.org/files/ENCFF138GWZ/@@download/ENCFF138GWZ.bed.gz				released	s3://encode-public/2019/07/24/318720d8-8726-4b53-a98f-e547692abaea/ENCFF138GWZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/318720d8-8726-4b53-a98f-e547692abaea/ENCFF138GWZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived			
ENCFF885WYY	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF535IMT/, /files/ENCFF065MNN/	1011933	ENCODE Processing Pipeline	56a8a795a3c491a046674abb2d3b865f		https://www.encodeproject.org/files/ENCFF885WYY/@@download/ENCFF885WYY.bed.gz				released	s3://encode-public/2019/07/24/c5594316-8a04-4e17-9910-18c255380756/ENCFF885WYY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/c5594316-8a04-4e17-9910-18c255380756/ENCFF885WYY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived			
ENCFF347RSO	bigBed narrowPeak	bigBed	narrowPeak	peaks	hg19	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF138GWZ/	2173429	ENCODE Processing Pipeline	99670e49a784873a4ae3750e55f539aa		https://www.encodeproject.org/files/ENCFF347RSO/@@download/ENCFF347RSO.bigBed				released	s3://encode-public/2019/07/24/33ddc01e-5e8c-4d84-8579-0c7dabb2a617/ENCFF347RSO.bigBed	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/33ddc01e-5e8c-4d84-8579-0c7dabb2a617/ENCFF347RSO.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived			
ENCFF583SUQ	bigBed narrowPeak	bigBed	narrowPeak	peaks	GRCh38	ENCSR860GPM	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF885WYY/	2207809	ENCODE Processing Pipeline	277f7c5e3c937734bbfc99c4a56e24e4		https://www.encodeproject.org/files/ENCFF583SUQ/@@download/ENCFF583SUQ.bigBed				released	s3://encode-public/2019/07/24/8fdf245d-0017-435a-8f2f-7fa0fbbdf518/ENCFF583SUQ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/8fdf245d-0017-435a-8f2f-7fa0fbbdf518/ENCFF583SUQ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived			
